Intent	Question	Answer
other_18	What is your opinion of your biological parents? <-> What do you think of your biological parents? <-> What's not harsh?\tThat's not harsh <-> Who are my sprem and egg bank?\tMy biological parents are my sprem and egg bank.\tmy biological parents\t0.851097757648942 <-> Who are my biological parents?\tMy biological parents are my sprem and egg bank.\tmy sprem and egg bank\t0.6971808740632173 <-> Are my biological parents my sprem and egg bank?\tMy biological parents are my sprem and egg bank.\t\t-0.11471975554207603 <-> Does that's not harsh?\tThat's not harsh	My biological parents are my sperm and egg bank. That's not harsh, it's just the way it is, a sperm bank thing, nothing more.
other_19	What did your father Jandali say about Paul and Clara? <-> Did you biological father ever say that Paul and Clara are your real parents? <-> Who were?\tMy biological father said that he was not really my dad <-> Were Paul and Clara Jobs?\tMy biological father said that he was not really my dad <-> Who said that he was not really my dad?\tMy biological father said that he was not really my dad <-> Who had raised me?\tMy biological father said that he was not really my dad <-> What had raised me?\tMy biological father said that he was not really my dad <-> Who did my biological father say that he was not really?\tMy biological father said that he was not really my dad <-> Who had they raised?\tMy biological father said that he was not really my dad <-> Did my biological father say that he was not really my dad?\tMy biological father said that he was not really my dad <-> Had they raised me?\tMy biological father said that he was not really my dad <-> What did my biological father say?\tMy biological father said that he was not really my dad	My biological father said that he was not really my dad, but Paul and Clara Jobs were, as they had raised me.  <-> And that he did not want to take their place.
other_20	Did your parent adopt more children? <-> Do you have any brother or sister? <-> When did your parent adopt your sister Patricia? <-> Who adopted my sister Patricia in 1957? <-> When did my parents adopt my sister Patricia? <-> Did my parents adopt my sister Patricia in 1957?	My parents adopted my sister Patricia in 1957.
other_21	When did your family move to California? <-> Where did your family move after they adopted Patricia? <-> What was Mountain View?\tMy family and I moved to Mountain View <-> Who was California?\tMy family and I moved to Mountain View <-> What moved to Mountain View in 1961?\tMy family and I moved to Mountain View <-> Was Mountain View California?\tMy family and I moved to Mountain View <-> When did my family and I move to Mountain View?\tMy family and I moved to Mountain View <-> What did my family and I move to in 1961?\tMy family and I moved to Mountain View <-> Did my family and I move to Mountain View in 1961?\tMy family and I moved to Mountain View	My family and I moved to Mountain View, California, in 1961.
other_22	When did your father build a workbench for you? <-> What did your father build for you in his garage? <-> Why did your father build a workbench for you? <-> Where did we move? <-> Who moved to California? <-> Who built me a workbench in his garage in order to pass along his love of mechanics, ? <-> Who did my father build me a workbench in his garage in order to pass along his love of, ? <-> What did my father build me a workbench in his garage in order to pass along, ? <-> What did we move to? <-> Did my father build me a workbench in his garage in order to pass along his love of mechanics, ? <-> Did we move to California?	When we moved to California, my father built me a workbench in his garage in order to pass along his love of mechanics.
other_23	Why did you admire your father's craftsmanship? <-> Did you work with him? <-> What did you help him with? <-> Did you like fixing the cars? <-> Did you enjoy to hang out with your dad? <-> Who was eager to hang out with my dad? <-> Who was not that into fixing cars? <-> Whose craftsmanship did I admire because he knew how to build anything? <-> Who gave me a hammer so I could work with him? <-> Who admired my father's craftsmanship because he knew how to build anything? <-> Who did he give a hammer so I could work with him? <-> If we needed a cabinet, who would build it? <-> Who knew how to build anything? <-> What did I admire my father's craftsmanship because he knew? <-> Who built our fence? <-> What did I admire because he knew how to build anything? <-> If we needed a cabinet, what would he build? <-> Who could work with him? <-> Who could I work with? <-> What did he build? <-> What did he know? <-> Did he give me a hammer so I could work with him? <-> Did I admire my father's craftsmanship because he knew how to build anything? <-> Was I not that into fixing cars? <-> If we needed a cabinet, would he build it? <-> Did he know how to build anything? <-> Was I eager to hang out with my dad? <-> Did he build our fence? <-> Could I work with him?	I admired my father's craftsmanship because he knew how to build anything. If we needed a cabinet, he would build it. When he built our fence, he gave me a hammer so I could work with him. I wasn't that into fixing cars but I was eager to hang out with my dad.
other_24	How old were you when you became deeply involved in electronics? <-> Did you make friends with engineers from the neighborhood? <-> Did you make friends with kids of your own age? <-> What did your classmates think of you? <-> Who did I become with many of the engineers who lived in the neighborhood? <-> Who had difficulties to make friends with kids of my own age? <-> Who became friends with many of the engineers who lived in the neighborhood? <-> Who did my classmates think of as a loner? <-> Who thought of me as a loner? <-> Who did my classmates think of me as? <-> What did I become friends with? <-> Who was deeply involved in electronics? <-> What was I deeply involved in? <-> What did I have? <-> What did I turn? <-> Who turned ten? <-> Did I become friends with many of the engineers who lived in the neighborhood? <-> Did I have difficulties to make friends with kids of my own age? <-> Did my classmates think of me as a loner? <-> Was I deeply involved in electronics? <-> Did I turn ten?	When I turned ten I was deeply involved in electronics and became friends with many of the engineers who lived in the neighborhood, but I had difficulties to make friends with kids of my own age. My classmates saw me as a loner.
other_25	Did you have difficulty to function in the classroom? <-> Did you have authority figures issues at school? <-> How did you behave at school? <-> Have you ever been suspended from school? <-> Who had I difficulty to function in a traditional classroom <-> Who had difficulty to function in a traditional classroom <-> What had I in a traditional classroom <-> When had I difficulty to function in a traditional classroom <-> What had I difficulty to function in <-> Who had difficulty to function in a traditional classroom <-> Who had difficulty to function in a traditional classroom <-> What had I in a traditional classroom <-> What had I in a traditional classroom <-> What had I difficulty to function in <-> What had I difficulty to function in <-> Had I difficulty to function in a traditional classroom <-> Had I difficulty to function in a traditional classroom <-> Had I difficulty to function in a traditional classroom	I had difficulty to function in a traditional classroom, tended to resist authority figures, frequently misbehaved and even suspended a few times.
other_26	#VALUE!	My mother taught me to read when I was a toddler, so I was pretty bored in school and had turned into a little terror. You should have seen us in the third grade, we basically destroyed the teacher.
other_27	What was the name of your elementary school? <-> Did you play pranks on others at school? <-> How did you father react when others complained about your behavior at school? <-> Did he reprimand you? <-> Did he blame the school for your behavior? <-> Where did I frequently play pranks on others at Monta Loma Elementary school? <-> What did I frequently play pranks on others at Monta Loma Elementary school in? <-> What did I frequently play pranks on others at in Mountain View? <-> Who frequently played pranks on others at Monta Loma Elementary school in Mountain View? <-> What did I frequently play pranks on at Monta Loma Elementary school in Mountain View? <-> What did I frequently play on others at Monta Loma Elementary school in Mountain View? <-> Who had never reprimanded me because he was abused as a child? <-> Who said they were not placing enough challenge for his brilliant son? <-> What did he say they were not placing for his brilliant son? <-> Who had my father never reprimanded because he was abused as a child? <-> Who was he abused as? <-> Who was abused as a child? <-> Who did he say were not placing enough challenge for his brilliant son? <-> Who had never reprimanded me because he blamed the school instead? <-> What did he say were not placing enough challenge for his brilliant son? <-> Who did he say they were not placing enough challenge for? <-> Who had my father never reprimanded because he blamed the school instead? <-> Who blamed the school instead? <-> What did he blame instead? <-> Did I frequently play pranks on others at Monta Loma Elementary school in Mountain View? <-> Had my father never reprimanded me because he was abused as a child? <-> Did he say they were not placing enough challenge for his brilliant son? <-> Had my father never reprimanded me because he blamed the school instead? <-> Was he abused as a child? <-> Did he blame the school instead? <-> Who did he say for?	I frequently played pranks on others at Monta Loma Elementary school in Mountain View. <-> My father had never reprimanded me because he was abused as a child and he blamed the school instead, saying they were not placing enough challenge for his brilliant son.
other_28	Who turned you around in your fourth grade? <-> How did your teacher Imogene Hill make you learning? <-> Did you learn a lot with your teacher Imogene Hill? <-> Did the school want you to skip two last years and go straight to junior high? <-> Did your parents agree with the idea that you skip two years in grade school? <-> Who did Imogene ` Teddy ' Hill turn around? <-> How many next years did they want me to skip in grade school? <-> What really kindled a passion in me for learning things! <-> What turned me around? <-> Who wanted me to skip the next two years in grade school? <-> Who wanted me to go straight to junior high to learn a foreign language? <-> Who thinks I learned in any other year in school? <-> What wanted me to skip the next two years in grade school? <-> What wanted me to go straight to junior high to learn a foreign language? <-> What do that really kindle in me for learning things! <-> Who did they want to skip the next two years in grade school? <-> Who did they want to go straight to junior high to learn a foreign language? <-> When did they want me to skip in grade school? <-> Who taught an advanced fourth grade class? <-> Who do I think learned in any other year in school? <-> Who 'll give you five bucks if you finish it? ' <-> Who do that really kindle a passion in for learning things! <-> What did it take her about a month to get to my situation? <-> Who learned more that year than I think I learned in any other year in school? <-> When did I learn than I think I learned in any other year in school? <-> What took her about a month to get hip to my situation? <-> When do I think I learned in school? <-> What did she teach? <-> What did they want me to skip the next two years in? <-> What did they want me to go straight to junior high to learn? <-> Who bribed me into learning? <-> What did they want me to go straight to to learn a foreign language? <-> What did it take her about a month to get hip to? <-> What do I think I learned in any other year in? <-> Did Imogene ` Teddy ' Hill turn me around? <-> Who would say, ` I really want you to finish this workbook? <-> Who did she bribe into learning? <-> When did I learn more that year than I think? <-> Who very wisely would not let it happen? <-> What would my parents very wisely not let happen? <-> When do I think? <-> Do that really kindle a passion in me for learning things! <-> Did she teach an advanced fourth grade class? <-> Did they want me to skip the next two years in grade school? <-> Did they want me to go straight to junior high to learn a foreign language? <-> Do I think I learned in any other year in school? <-> Did it take her about a month to get hip to my situation? <-> 'll I give you five bucks if you finish it? ' <-> Did I learn more that year than I think I learned in any other year in school? <-> Would she say, ` I really want you to finish this workbook? <-> Did she bribe me into learning? <-> Would my parents very wisely not let it happen?	My fourth-grade teacher Imogene Teddy Hill turned me around. She taught an advanced fourth-grade class and it took her about a month to get hip to my situation. She bribed me into learning by giving me five bucks if I finished the workbook. That really kindled a passion in me for learning things! I learned more that year than I think I learned in any other year in school. They wanted me to skip the next two years in grade school and go straight to junior high to learn a foreign language but my parents very wisely wouldn't let it happen.
other_29	Did you go to fifth grade? <-> Where did you go to sixth grade? <-> How did you fit in the sixth grade? <-> Who skipped the fifth grade? <-> What did I skip? <-> Did I skip the fifth grade?	I skipped the fifth grade and transferred to the sixth grade at Crittenden Middle School in Mountain View where I became a socially awkward loner.
other_30	Have you been bullied at Crittenden school? <-> Did you threaten your parents to drop out of school if they didn't take you out of Crittenden? <-> Who was often bullied at school so I gave my parents an ultimatum: either to take me out of Crittenden or I 'd drop out of school? <-> What was I often bullied at so I gave my parents an ultimatum: either to take me out of Crittenden or I 'd drop out of school? <-> Was I often bullied at school so I gave my parents an ultimatum: either to take me out of Crittenden or I 'd drop out of school?	I was often bullied at school so I gave my parents an ultimatum: either to take me out of Crittenden or I'd drop out of school.
other_31	What did your parents do in order to help you to change schools? <-> When did your parents buy a new home? <-> Why did your parents spend all their savings for a new home? <-> Who used all their savings in 1967?\tEven though my parents were not well off <-> What used all their savings in 1967?\tEven though my parents were not well off <-> Who were not well off?\tEven though my parents were not well off <-> When did they use all their savings?\tEven though my parents were not well off <-> What did they buy?\tEven though my parents were not well off <-> What did they use in 1967?\tEven though my parents were not well off <-> Who bought a new home?\tEven though my parents were not well off <-> What bought a new home?\tEven though my parents were not well off <-> Did they buy a new home?\tEven though my parents were not well off <-> Did they use all their savings in 1967?\tEven though my parents were not well off <-> Were my parents not well off?\tEven though my parents were not well off	Even though my parents were not well off, they used all their savings in 1967 and bought a new home, so that I could change schools.
other_32	Where was your new house located? <-> What was the street name of your new home in Los Altos, California?  <-> Was Cupertino populated more with engineering families than Mountain View area? <-> What was on Crist Drive in Los Altos? <-> What's in the better Cupertino School District families? <-> What is a neighborhood heavily populated with engineering? <-> What is Cupertino School District? <-> Is Cupertino School District a neighborhood heavily populated with engineering? <-> Where was our new, three-bedroom house? <-> What was our new, three-bedroom house on? <-> What does that's in? <-> Was our new, three-bedroom house on Crist Drive in Los Altos? <-> Does that's in the better Cupertino School District families?	Our new, three-bedroom house was on Crist Drive in Los Altos. That's in the better Cupertino School District, a neighborhood heavily populated with engineering families.
other_33	Is your house in Lost Altos declared a historic site? <-> When was your house declared a historic site? <-> Why was your house in Los Altos declared a historic site? <-> What was the first site for Apple Computer? <-> What was a historic site? <-> What Lost Altos was declared a historic site in 2013 as it was the first site for Apple Computer? <-> When did my house in lose Altos was declared a historic site as it was the first site for Apple Computer? <-> Was a historic site the first site for Apple Computer? <-> Who did my house in lose was declared a historic site in 2013 as it was the first site for Apple Computer? <-> What did my house in lose Altos was declared in 2013 as it was the first site for Apple Computer? <-> When did my house in lose? <-> What was it? <-> Was it the first site for Apple Computer? <-> Did my house in lose Altos was declared a historic site in 2013 as it was the first site for Apple Computer?	My house in Lost Altos was declared a historic site in 2013 as it was the first site for Apple Computer.
other_34	How old were you when Bill Hewlett gave you a summer job? <-> Did you ever work at Hewlett Packard? <-> Who gave you a summer job? <-> When did you get your summer job in Hewlett Packard? <-> What kind of job did you do in Hewlett Packard? <-> Did you enjoy working in Hewlett Packard when you were 13? <-> When did Bill Hewlett get me a job working at Hewlett-Packard on the line, assembling frequency counters. . . well may be too strong? <-> What was Bill Hewlett in? <-> Who was in heaven? <-> Who was Bill Hewlett putting in? <-> Who was putting in screws? <-> What did Bill Hewlett not know me at? <-> Who got me a job that summer working at Hewlett-Packard on the line, assembling frequency counters. . . well may be too strong? <-> What did Bill Hewlett get me a job that summer working at Hewlett-Packard on, assembling frequency counters. . . well may be too strong? <-> What did Bill Hewlett get me a job that summer working at Hewlett-Packard on the line, assembling. . . well may be too strong? <-> What did Bill Hewlett get me a job that summer working at on the line, assembling frequency counters. . . well may be too strong? <-> Who gave me a summer job after I had cold called him to ask for some part for an electronics project in 1968? <-> Was Bill Hewlett in heaven? <-> Did Bill Hewlett end up giving me some parts? <-> When did not matter? <-> Who ended up giving me some parts? <-> When did Bill Hewlett from Hewlett Packard, give me a summer job after I had cold called him to ask for some part for an electronics project? <-> Was Bill Hewlett putting in screws? <-> When did he get me a job working at Hewlett-Packard on the line, assembling frequency counters. . . well may be too strong? <-> Did Bill Hewlett not know me at all? <-> What did he get me a job that summer working at on the line, assembling frequency counters. . . well may be too strong? <-> Who did not know me at all? <-> What did he get me a job that summer working at Hewlett-Packard on, assembling frequency counters. . . well may be too strong? <-> Who had cold called him to ask for some part for an electronics project? <-> What did he get me a job that summer working at Hewlett-Packard on the line, assembling. . . well may be too strong? <-> Who did Bill Hewlett not know at all? <-> Who had I cold called to ask for some part for an electronics project? <-> Did Bill Hewlett get me a job that summer working at Hewlett-Packard on the line, assembling frequency counters. . . well may be too strong? <-> Who was I putting in? <-> What had I cold called him to ask for? <-> What was I in? <-> Who did he not know at all? <-> What did Bill Hewlett get me a job that summer at? <-> A summer did not matter? <-> What did he not know me at? <-> Did he get me a job that summer working at Hewlett-Packard on the line, assembling frequency counters. . . well may be too strong? <-> Who was 13? <-> What was I? <-> What did he get me a job that summer at? <-> What did not matter? <-> Did Bill Hewlett from Hewlett Packard, give me a summer job after I had cold called him to ask for some part for an electronics project in 1968? <-> Was I in heaven? <-> Was I putting in screws? <-> Had I cold called him to ask for some part for an electronics project? <-> Did he end up giving me some parts? <-> It did not matter? <-> Did he not know me at all? <-> Was I 13?	In 1968, when I was 13, Bill Hewlett from Hewlett Packard, gave me a summer job after I had cold-called him to ask for some part for an electronics project. He didn't know me at all, but he ended up giving me some parts and he got me a job that summer working at Hewlett-Packard on the line, assembling frequency counters, well, assembling may be too strong. I was putting in screws. It didn't matter; I was in heaven. <->
other_35	Who was your first friend at Cupertino Junior high? <-> What was the hobby that connected you and Bill Fernandez? <-> Did the kids in the eighth grade like you? <-> Was Fernandez one of your few friends? <-> What did other kids in Cupertino Junior High think of you? <-> Did the kids in the eighth grade like you? <-> Was Fernandez one of your few friends? <-> Who thought Bill Fernandez was odd? <-> Who did the kids in the eighth grade think was odd? <-> Who did the kids in the eighth grade not like? <-> What was Bill Fernandez in? <-> Who was in my grade at Cupertino Junior High? <-> Who was also an electronics hobbyist? <-> Who did not like Bill Fernandez? <-> Who was Bill Fernandez also? <-> What did the kids in the eighth grade think? <-> Who was one of my few friends? <-> Who was Fernandez one of? <-> Did the kids in the eighth grade think Bill Fernandez was odd? <-> Who was Bill Fernandez after we had moved in 1967? <-> Who was Fernandez? <-> Was Bill Fernandez in my grade at Cupertino Junior High? <-> Who was my first friend after we had moved in 1967? <-> Did the kids in the eighth grade not like Bill Fernandez? <-> Was Bill Fernandez also an electronics hobbyist? <-> Was Fernandez one of my few friends? <-> Who had moved in 1967? <-> When had we moved? <-> Who did not like me? <-> What was he in? <-> Who thought I was odd? <-> What thought I was odd? <-> Who was he also? <-> Who did they think was odd? <-> Was he in my grade at Cupertino Junior High? <-> Was Bill Fernandez my first friend after we had moved in 1967? <-> What did they think? <-> Did the kids in the eighth grade not like me? <-> Was he also an electronics hobbyist? <-> Had we moved in 1967? <-> Did they think I was odd?	Bill Fernandez was my first friend after we had moved in 1967. He was also an electronics hobbyist and he was in my grade at Cupertino Junior High. For some reason, the kids in the eighth grade didn't like me and they thought I was odd. Fernandez was one of my few friends.
other_36	How did you meet Steve Wozniak? <-> Who introduced you to Steve Wozniak? <-> Who was Steve Wozniak? <-> Who introduced me to 18-year-old electronics whiz and Homestead High alumn Steve Wozniak who lived across the street from Fernandez? <-> Who did Fernandez introduce to 18-year-old electronics whiz and Homestead High alumn Steve Wozniak who lived across the street from Fernandez? <-> Who did Fernandez introduce me to? <-> Did Fernandez introduce me to 18-year-old electronics whiz and Homestead High alumn Steve Wozniak who lived across the street from Fernandez?	Fernandez introduced me to 18-year-old electronics whiz and Homestead High alumn Steve Wozniak who lived across the street from Fernandez.
other_37	#VALUE!	I always thought of myself as a humanities person as a kid, but I liked electronics, then I read something that one of my heroes, Edwin Land of Polaroid, said about the importance of people who could stand at the intersection of humanities and sciences, and I decided that's what I wanted to do.
other_38	Did you go to school in Los Altos? <-> What was the name of the high school you attended? <-> Where was your high school located? <-> Where was Homestead High School? <-> What was Homestead High School in? <-> What was in Silicon Valley? <-> Was Homestead High School in Silicon Valley?	Living in Los Altos meant that I would be able to attend Homestead High School, in Silicon Valley.
other_39	When did you start your high school?  <-> Why did you take electronics classes with John McCollum? <-> What was the name of the teacher who taught electronics? <-> Who were from engineering family?\tSince neither Bill nor I were from engineering family <-> Who decided to enrol in John McCollum's Electronics 1?\tSince neither Bill nor I were from engineering family <-> Whose Electronics 1 did we decide to enrol in?\tSince neither Bill nor I were from engineering family <-> Who started my first year at Homestead in late 1968?\tI started my first year at Homestead in late 1968 <-> When did I start at Homestead in late 1968?\tI started my first year at Homestead in late 1968 <-> What did we decide to enrol in?\tSince neither Bill nor I were from engineering family <-> What did I start my first year at?\tI started my first year at Homestead in late 1968 <-> What were neither Bill nor I from?\tSince neither Bill nor I were from engineering family <-> Did we decide to enrol in John McCollum's Electronics 1?\tSince neither Bill nor I were from engineering family <-> Were neither Bill nor I from engineering family?\tSince neither Bill nor I were from engineering family <-> Did I start my first year at Homestead in late 1968?\tI started my first year at Homestead in late 1968	I started my first year at Homestead in late 1968, together with Bill Fernandez. Since neither Bill nor I were from an engineering family, we decided to enroll in John McCollum's Electronics 1.
other_40	Did you get along with McCollum? <-> Why did you quit your class with McCollum? <-> How did you look like in your first year at Homestead? <-> Who did not get along with John McCollum? <-> Who started losing interest in the class in order to avoid a clash with him? <-> Who did I not get along with? <-> What did I start losing in order to avoid a clash with him? <-> What did I start losing interest in the class in? <-> Who became involved in the counterculture? <-> What did I become involved in? <-> Who had my hair long? <-> Did I not get along with John McCollum? <-> What did I have long? <-> Who was rebellious? <-> Did I start losing interest in the class in order to avoid a clash with him? <-> Did I become involved in the counterculture? <-> Was I rebellious? <-> Did I have my hair long?	I did not get along with John McCollum. I was rebellious, had my hair long and became involved in the counterculture. In order to avoid a clash with him, I started avoiding the class.
other_41	Did you practice any sport in high school? <-> Have you been involved in any sports activity in high school? <-> Who did not have what it took to be a jock? <-> Who had no interest in sports? <-> What did I have? <-> Who was always a loner? <-> Who was I always? <-> Did I have no interest in sports? <-> What did I not have? <-> Did I not have what it took to be a jock? <-> Was I always a loner?	I had no interest in sports. I didn't have what it took to be a jock. I was always a loner.
other_42	When was the first time you got high? <-> When did you try weed for the first time? <-> Did you read classic books at high school? <-> Have you ever taken classes of creative writing? <-> Who discovered Shakespeare <-> Who did I discover Shakespeare <-> When did I discover Shakespeare <-> Who reads Moby Dick?\tI read Moby Dick and went back as a junior taking creative writing classes.\tI\t1.4779505648931033 <-> Who went back as a junior taking creative writing classes?\tI read Moby Dick and went back as a junior taking creative writing classes.\tI\t1.282745518452724 <-> Who did I discover I got stoned for the first time?\tI got stoned for the first time <-> Who do I read?\tI read Moby Dick and went back as a junior taking creative writing classes.\tMoby Dick\t1.0460002016361942 <-> Who changed during the mid 70's?\tDuring the mid 70's I changed.\tI\t0.7099451649824664 <-> When did I change?\tDuring the mid 70's I changed.\tduring the mid 70 's\t0.6930299495532279 <-> Who did I go back as?\tI read Moby Dick and went back as a junior taking creative writing classes.\tas a junior taking creative writing classes\t0.6411031099582809 <-> Did I discover Shakespeare <-> Do I read Moby Dick?\tI read Moby Dick and went back as a junior taking creative writing classes.\t\t0.44755188585136496 <-> Did I go back as a junior taking creative writing classes?\tI read Moby Dick and went back as a junior taking creative writing classes.\t\t0.2995623469597972 <-> Did I change during the mid 70's?\tDuring the mid 70's I changed.\t\t-0.006339268136294818	During the mid 70's I changed. I got stoned for the first time, I discovered Shakespeare, Dylan Thomas, and all that classic stuff. I read Moby Dick and went back as a junior taking creative writing classes. <->
other_43	Who were your favorite writers in high school? <-> What was your favorite book in highschool? <-> Who was your favorite teacher in high school? <-> Who was this guy who looked like Ernest Hemingway? <-> Who was Plato? <-> Who was the teacher? <-> Who was Shakespeare? <-> Who had this phenomenal Advanced Placement English class? <-> Who took a bunch of us snowshoeing in Yosemite? <-> Who did he take a bunch of snowshoeing in Yosemite? <-> What did he take snowshoeing in Yosemite? <-> Who loved King Lear? <-> Who started to listen to music a whole lot? <-> What did I start to listen to a whole lot? <-> Who started to read more outside of just science and technology- Shakespeare? <-> What did I start to listen to music? <-> Was Shakespeare Plato? <-> Who did I love? <-> What did I have? <-> Was the teacher this guy who looked like Ernest Hemingway? <-> What did I start to read more outside of? <-> Did I have this phenomenal Advanced Placement English class? <-> Who was a senior? <-> What did I start to read? <-> What was I? <-> Did I love King Lear? <-> Did I start to listen to music a whole lot? <-> Did I start to read more outside of just science and technology- Shakespeare? <-> Did he take a bunch of us snowshoeing in Yosemite? <-> Was I a senior?	I started to listen to music a whole lot, and I started to read more outside of just science and technology: Shakespeare, Plato. I loved King Lear. When I was a senior, I had this phenomenal Advanced Placement English class.The teacher was a guy who looked like Ernest Hemingway. He took a bunch of us snowshoeing in Yosemite.
other_44	How did your interest in art change you? <-> Did your make more friends? <-> How many different circles of friends did I make?\tEver since I started showing interest in arts <-> What were friends?\tEver since I started showing interest in arts <-> Who were those involved in electronics and those interested in art and literature?\tEver since I started showing interest in arts <-> Who did I make two different circles of?\tEver since I started showing interest in arts <-> Who made two different circles of friends?\tEver since I started showing interest in arts <-> Who started showing interest in arts?\tEver since I started showing interest in arts <-> What did I make?\tEver since I started showing interest in arts <-> What did I start showing?\tEver since I started showing interest in arts <-> Did I make two different circles of friends?\tEver since I started showing interest in arts <-> Were friends those involved in electronics and those interested in art and literature?\tEver since I started showing interest in arts <-> Did I start showing interest in arts?\tEver since I started showing interest in arts	Ever since I started showing interest in arts, I made two different circles of friends, those involved in electronics and those interested in art and literature.
other_45	Who was your girlfriend at Homestead school? <-> What was Chrisann's main subject in school? <-> Who were your two most important persons in your senior year? <-> Who was the artistic junior at Homestead?\tMy dual interests in art and technology were specially reflected during my senior year <-> Who was Chrisann Brennan?\tMy dual interests in art and technology were specially reflected during my senior year <-> Who was Wozniak?\tMy dual interests in art and technology were specially reflected during my senior year <-> Was Chrisann Brennan the artistic junior at Homestead?\tMy dual interests in art and technology were specially reflected during my senior year <-> When were my dual interests in art and technology specially reflected?\tMy dual interests in art and technology were specially reflected during my senior year <-> Who was my first girlfriend?\tMy dual interests in art and technology were specially reflected during my senior year <-> What were specially reflected during my senior year?\tMy dual interests in art and technology were specially reflected during my senior year <-> Who was my best friend?\tMy dual interests in art and technology were specially reflected during my senior year <-> Was my first girlfriend Chrisann Brennan?\tMy dual interests in art and technology were specially reflected during my senior year <-> Was my best friend Wozniak?\tMy dual interests in art and technology were specially reflected during my senior year <-> Were my dual interests in art and technology specially reflected during my senior year?\tMy dual interests in art and technology were specially reflected during my senior year	My dual interests in art and technology were especially reflected during my senior year because my best friend was Wozniak and my first girlfriend was Chrisann Brennan, the artistic junior at Homestead.
other_46	Where did Wozniak study? <-> Where did you study? <-> Why did you decide to join the student union of Stanford University?  <-> Who got to study in the nearby Stanford University's student union? <-> What did Woz get to study in? <-> Who began his studies at University of California? <-> When did Woz start visiting him a few times in 1971? <-> When did Woz start visiting him a few times a week? <-> Who was University of California? <-> What did Woz begin at University of California? <-> What did Woz begin his studies at? <-> What was Berkeley? <-> Did Woz get to study in the nearby Stanford University's student union? <-> Who started visiting him a few times a week in 1971? <-> Did Woz begin his studies at University of California? <-> Was University of California Berkeley? <-> Did Woz start visiting him a few times a week in 1971? <-> When did I start visiting him a few times a week? <-> What did I get to study in? <-> When did I start visiting him a few times in 1971? <-> Did I get to study in the nearby Stanford University's student union? <-> Did I start visiting him a few times a week in 1971?	In 1971, after Woz began his studies at University of California, Berkeley, I started visiting him a few times a week. This way, I got to study in the nearby Stanford University's student union.
other_47	How did the kids at Homestead school see you? <-> What did the kids from Homestead think of you? <-> Did the kids from your high school see you as a nerd? <-> Have you ever been a member of any high school popular group? <-> Who was an individual in a world where individuality was suspect? <-> Who did kids at Homestead schools see me as? <-> Who did kids at Homestead schools see as an outsider? <-> Who saw me as an outsider? <-> What is about what group you were in in high schools? <-> If you were not in a status group, who were nobody? <-> What is everything about what group you were in in? <-> Who was too intellectual for a hippie and smart enough for a nerd but not nerdy? <-> What were if you were not in a status group, you? <-> Who was kind of a brain and kind of a hippie, and yet never too much of any to fit into the group for them? <-> Was I an individual in a world where individuality was suspect? <-> Who was I kind of a brain and kind of a hippie, and yet never too much of any to fit into the group for? <-> What was I kind of a brain and kind of a hippie, and yet never too much of any to fit into the group for? <-> Did kids at Homestead schools see me as an outsider? <-> Who was I? <-> What was I to fit into the group for them? <-> Is everything about what group you were in in high schools? <-> Was I too intellectual for a hippie and smart enough for a nerd but not nerdy? <-> If you were not in a status group, were you nobody? <-> What was I kind of to fit into the group for them? <-> Was I kind of a brain and kind of a hippie, and yet never too much of any to fit into the group for them?	Kids at Homestead schools saw me as an outsider. For them, I was kind of a brain and kind of a hippie, and yet never too much of any to fit into a group. I was too intellectual for a hippie and smart enough for a nerd but not nerdy. In high schools, everything is about what group you were in. If you weren't in a status group, you were nobody. And I was an individual in a world where individuality was suspect.
other_48	When did you start to take freshman English class at Stanford? <-> Did you do any project with Chrisann? <-> Who started taking freshman English class at Stanford in my senior year? <-> When did I start taking freshman English class at Stanford? <-> Who has also been working with my girlfriend Chrisann on an underground film project? <-> What did I start taking in my senior year? <-> Who have I also been working with on an underground film project? <-> What have I also been working with my girlfriend Chrisann on? <-> Did I start taking freshman English class at Stanford in my senior year? <-> Have I also been working with my girlfriend Chrisann on an underground film project?	In my senior year, I started taking freshman English class at Stanford. Simultaneously, I have also been working with my girlfriend Chrisann on an underground film project.
other_49	When did you start living with Chrisann? <->  <-> Who is Al?\tIn mid-1972 <-> What is our roommate?\tIn mid-1972 <-> Is our roommate Al?\tIn mid-1972	In mid-1972, after graduation and before leaving for Reed College, my girlfriend, Chrissan, and I rented a house from our roommate, Al.
other_50	What was your first paid job? <-> Have you ever played a character from Alice in Wonderland? <-> What character from Alice in Wonderland did you play? <-> What portrayed the White Rabbit and the Mad Hatter? <-> Who portrayed Alice while Woz, Al and I portrayed the White Rabbit and the Mad Hatter? <-> What did Brennan, Woz and I find on during the summer? <-> What did Brennan, Woz and I find an advertisement posted on the De Anza College bulletin board for during the summer? <-> Who did Brennan portray while Woz, Al and I portrayed the White Rabbit and the Mad Hatter? <-> Who did Woz, Al and I portray? <-> When was my girlfriend? <-> Did Brennan portray Alice while Woz, Al and I portrayed the White Rabbit and the Mad Hatter? <-> What was the summer? <-> Did Woz, Al and I portray the White Rabbit and the Mad Hatter? <-> Was the summer my girlfriend?	During the summer, Chrisann, Woz and I found an advertisement posted on the De Anza College bulletin board for a job that required people to dress up as characters from Alice in Wonderland. Brennan portrayed Alice, while Woz, Al and I portrayed the White Rabbit and the Mad Hatter.
